date;Charging Station;Duration (min);Total Energy (kWh);Nº cartão EVIO;Plus;Temp
2023-04-17;CAP_SON_MAI_00010;345.5;10.28;4;0.0;19.5
2023-04-17;CAP_SON_MAI_00002;15.2;17.35;29;0.0;19.5
2023-04-18;CAP_SON_MAI_00010;169.067;10.43;59;0.0;19.25
2023-04-18;CAP_SON_MAI_00001;551.367;12.41;50;0.0;19.25
2023-04-18;CAP_SON_MAI_00010;306.033;10.82;46;0.0;19.25
2023-04-18;CAP_SON_MAI_00004;178.333;10.49;35;0.0;19.25
2023-04-18;CAP_SON_MAI_00004;140.85;26.26;29;0.0;19.25
2023-04-18;CAP_SON_MAI_00001;632.083;11.91;55;0.0;19.25
2023-04-19;CAP_SON_MAI_00010;325.483;11.68;76;0.0;17.0
2023-04-19;CAP_SON_MAI_00004;0.65;0.0;50;0.0;17.0
2023-04-19;CAP_SON_MAI_00004;0.65;0.0;50;0.0;17.0
2023-04-19;CAP_SON_MAI_00004;199.1;12.28;50;0.0;17.0
2023-04-19;CAP_SON_MAI_00004;101.333;17.95;29;0.0;17.0
2023-04-20;CAP_SON_MAI_00010;124.55;7.59;59;0.0;14.75
2023-04-20;CAP_SON_MAI_00004;166.0;9.62;76;0.0;14.75
2023-04-20;CAP_SON_MAI_00004;286.133;53.17;29;0.0;14.75
2023-04-20;CAP_SON_MAI_00002;53.633;49.0;144;0.0;14.75
2023-04-20;CAP_SON_MAI_00001;519.6;10.25;-;0.0;14.75
2023-04-21;CAP_SON_MAI_00004;71.2;8.44;55;0.25;13.0
2023-04-21;CAP_SON_MAI_00010;260.767;10.06;46;0.25;13.0
2023-04-21;CAP_SON_MAI_00004;64.833;10.78;144;0.25;13.0
2023-04-24;CAP_SON_MAI_00004;207.833;11.89;76;0.025;16.5
2023-04-26;CAP_SON_MAI_00010;254.033;10.76;46;0.0;17.5
2023-04-26;CAP_SON_MAI_00010;0.067;0.0;29;0.0;17.5
2023-04-26;CAP_SON_MAI_00004;287.367;53.18;29;0.0;17.5
2023-04-26;CAP_SON_MAI_00010;293.317;10.24;4;0.0;17.5
2023-04-26;CAP_SON_MAI_00004;165.667;10.17;59;0.0;17.5
2023-04-27;CAP_SON_MAI_00001;193.817;11.77;76;0.0;19.0
2023-04-27;CAP_SON_MAI_00001;238.133;14.68;1;0.0;19.0
2023-04-27;CAP_SON_MAI_00004;261.217;49.29;144;0.0;19.0
2023-04-27;CAP_SON_MAI_00004;181.433;10.29;-;0.0;19.0
2023-04-30;CAP_SON_MAI_00002;35.8;44.62;144;0.0;17.5
2023-05-02;CAP_SON_MAI_00004;24.567;4.32;29;0.0;20.0
2023-05-02;CAP_SON_MAI_00001;257.533;10.27;-;0.0;20.0
2023-05-02;CAP_SON_MAI_00004;229.267;43.58;29;0.0;20.0
2023-05-02;CAP_SON_MAI_00004;212.55;12.9;59;0.0;20.0
2023-05-02;CAP_SON_MAI_00001;215.183;4.98;-;0.0;20.0
2023-05-02;CAP_SON_MAI_00010;235.117;44.26;144;0.0;20.0
2023-05-03;CAP_SON_MAI_00004;206.667;25.45;1;0.1;18.5
2023-05-03;CAP_SON_MAI_00001;251.333;12.34;50;0.1;18.5
2023-05-04;CAP_SON_MAI_00004;175.583;10.43;35;0.15;16.25
2023-05-04;CAP_SON_MAI_00001;224.933;13.02;59;0.15;16.25
2023-05-04;CAP_SON_MAI_00010;347.533;12.43;50;0.15;16.25
